iter	Passed	Remaining
0	0	96
1	1	87
2	2	83
3	3	78
4	4	78
5	4	77
6	5	78
7	6	78
8	7	77
9	8	76
10	9	75
11	10	74
12	10	72
13	11	72
14	12	71
15	13	70
16	14	69
17	15	68
18	15	67
19	16	66
20	17	66
21	18	65
22	19	64
23	20	63
24	20	62
25	21	62
26	22	61
27	23	60
28	24	59
29	25	59
30	26	58
31	27	57
32	27	56
33	28	55
34	29	54
35	30	53
36	31	53
37	32	52
38	32	51
39	33	50
40	34	49
41	34	47
42	35	47
43	36	46
44	37	45
45	38	44
46	38	43
47	39	43
48	40	42
49	41	41
50	42	40
51	43	39
52	43	38
53	44	38
54	45	36
55	45	36
56	46	35
57	47	34
58	48	33
59	49	32
60	50	32
61	51	31
62	51	30
63	52	29
64	53	28
65	54	28
66	55	27
67	56	26
68	56	25
69	57	24
70	58	23
71	59	23
72	60	22
73	61	21
74	61	20
75	62	19
76	63	19
77	64	18
78	65	17
79	66	16
80	66	15
81	67	14
82	68	14
83	69	13
84	70	12
85	70	11
86	71	10
87	72	9
88	73	9
89	74	8
90	74	7
91	75	6
92	76	5
93	77	4
94	78	4
95	78	3
96	79	2
97	80	1
98	81	0
99	82	0
